codi_barri,pes_atur,mean_household_income,mean_person_income,incoming_rate_1000hab,outcoming_rate_1000hab,poblacio,densitat_neta,norm_centre_civic_count,norm_police_office_count,norm_pharmacy,norm_accident_count,norm_animal_per_population,norm_hotel_count,norm_hospitals_and_clinics,norm_total_cars,norm_tourist_accomodation_count,norm_pension_count,norm_caps,norm_trees_count,mean_household_income_categorical,nom_barri,by_sea
1,11.475,27036.904761904763,10205.238095238095,115.7,137.5,47129,948.2,2.1218358123448406e-05,6.365507437034522e-05,0.0007002058180737975,0.00292813342103588,0.03831318077345858,0.0010609179061724203,0.0,0.012130838458577218,0.00016974686498758725,0.0005092405949627618,6.365507437034522e-05,0.006768656241380042,Low,el Raval,False
2,5.983333333333333,30513.33333333333,13249.333333333334,109.0,119.8,15614,457.2,6.40450877417702e-05,0.0,0.0012809017548354041,0.007749455616754195,0.038313180773458584,0.003714615089022672,0.0,0.08229793774817472,0.00044831561419239146,0.0026898936851543487,6.40450877417702e-05,0.006468553861918791,Low,el Barri Gòtic,True
3,10.241666666666667,27356.727272727272,13195.181818181818,97.0,119.4,15021,1113.2,6.657346381732241e-05,6.657346381732241e-05,0.0005991611743559018,0.009053991079155848,0.03831318077345858,0.0003328673190866121,0.00013314692763464483,0.038981789131579424,0.00013314692763464483,0.0,6.657346381732241e-05,0.006324479062645629,Low,la Barceloneta,True
4,9.066666666666666,31032.846153846152,14217.384615384615,100.4,120.1,22306,688.7,4.483098717833767e-05,4.483098717833767e-05,0.0010759436922801041,0.004886577602438806,0.038313180773458584,0.0010311127051017663,0.0,0.039720254640007176,0.00013449296153501301,0.000403478884605039,4.483098717833767e-05,0.0015690845512418184,Low,Sant Pere Santa Caterina I la Ribera,True
5,6.083333333333333,42808.15,18044.05,88.4,84.0,31653,947.7,3.159258206173191e-05,3.159258206173191e-05,0.0006318516412346381,0.008529997156667614,0.03883770643763833,0.00031592582061731905,0.0,0.023247401510125422,9.477774618519572e-05,0.0,9.477774618519572e-05,0.00679240514327236,Medium,el Fort Pienc,False
6,6.3,40778.205882352944,17686.382352941175,81.4,86.9,51322,1001.9,1.9484821324188458e-05,0.0,0.0005455749970772768,0.0067027785355208295,0.03883770643763833,7.793928529675383e-05,0.0,0.013017006810518135,9.742410662094228e-05,5.845446397256537e-05,3.8969642648376916e-05,0.011671407973188885,Medium,la Sagrada Família,False
7,5.208333333333333,51776.8275862069,22071.758620689656,77.4,80.0,43644,383.2,2.291265695170012e-05,2.291265695170012e-05,0.0014205847310054074,0.0192466318394281,0.038837706437638335,0.002153789753459811,4.582531390340024e-05,0.024073301540046582,0.001145632847585006,0.0016497113005224085,2.291265695170012e-05,0.008225643845660343,High,la Dreta de l'Eixample,False
8,5.391666666666667,48039.307692307695,21124.96153846154,78.6,89.4,41854,625.2,0.0,0.0,0.0009318105796339656,0.011420652745257323,0.03883770643763833,0.0006689922110192574,7.167773689492043e-05,0.021369155048134355,0.00026281836861470826,0.0006212070530893104,2.3892578964973478e-05,0.003894490371290677,High,l'Antiga Esquerra de l'Eixample,False
9,6.191666666666666,45801.475,20030.0,72.2,72.2,57648,882.8,3.4693311129614214e-05,0.0,0.0005550929780738274,0.005655009714127117,0.03883770643763834,0.0002775464890369137,5.203996669442132e-05,0.012563748959200666,5.203996669442132e-05,8.673327782403553e-05,3.4693311129614214e-05,0.007268248681654177,High,la Nova Esquerra de l'Eixample,False
10,6.716666666666666,41032.583333333336,17685.916666666668,83.5,84.0,38184,923.7,2.618897967735177e-05,5.237795935470354e-05,0.0007856693903205531,0.005709197569662686,0.03883770643763834,0.0003666457154829248,0.0,0.017389482505761576,0.0001833228577414624,0.00020951183741881415,5.237795935470354e-05,0.0032212445003142677,Medium,Sant Antoni,False
11,8.625,32225.33333333333,13393.166666666666,89.7,94.3,40055,1038.6,4.993134440144801e-05,2.4965672200724004e-05,0.00039945075521158406,0.0050181001123455245,0.04995386154041674,0.00024965672200724003,0.0,0.01501685182873549,0.00024965672200724003,0.00027462239420796404,2.4965672200724004e-05,0.11371863687429784,Low,el Poble Sec,False
12,13.3,27935.0,11802.0,149.6,37.0,1143,31.8,0.0,0.0008748906386701663,0.0026246719160104987,0.15923009623797024,0.049953861540416734,0.0008748906386701663,0.0,8.995625546806648,0.0,0.0,0.0,0.1714785651793526,Low,la Marina del Prat Vermell,False
