codi_barri,mean_person_income
1,10205.238095238095
2,13249.333333333334
3,13195.181818181818
4,14217.384615384615
5,18044.05
6,17686.382352941175
7,22071.758620689656
8,21124.96153846154
9,20030.0
10,17685.916666666668
11,13393.166666666666
12,11802.0
13,13640.35294117647
14,16343.42857142857
15,15722.6
16,16016.53846153846
17,15526.125
18,17226.03448275862
19,22217.285714285717
20,20068.6
21,28319.42857142857
22,21658.0
23,26446.8125
24,30270.272727272728
25,26432.33333333333
26,27285.451612903227
27,22579.263157894737
28,20328.454545454544
29,16016.8
30,19761.2
31,18539.666666666668
32,19472.76
33,17091.473684210527
34,15959.57142857143
35,16549.6
36,19609.14285714286
37,12389.09090909091
38,13486.75
39,14245.4
40,15805.25
41,17850.0
42,15605.0
43,16341.90476190476
44,15512.421052631578
45,13601.333333333334
46,11793.9
47,10852.0
48,15491.272727272728
49,14942.4
50,10658.7
51,11444.75
52,12873.7
53,10268.6
54,9813.5
55,8921.5
56,10132.0
57,10208.8
58,10154.5
59,12811.57142857143
60,17034.5641025641
61,15848.55
62,15852.666666666666
63,16266.307692307691
64,16640.76
65,16643.41176470588
66,17586.555555555555
67,23560.0
68,17531.65
69,18755.714285714286
70,11355.692307692309
71,15427.5
72,14948.166666666666
73,13869.285714285714
