codi_barri,incoming_rate_1000hab
1,115.7
2,109.0
3,97.0
4,100.4
5,88.4
6,81.4
7,77.4
8,78.6
9,72.2
10,83.5
11,89.7
12,149.6
13,53.7
14,84.2
15,77.4
16,56.1
17,62.0
18,72.3
19,61.0
20,59.3
21,58.6
22,66.9
23,67.5
24,58.0
25,66.3
26,63.3
27,76.6
28,76.6
29,79.7
30,66.5
31,80.2
32,71.1
33,76.1
34,73.1
35,75.2
36,57.2
37,68.2
38,69.9
39,68.6
40,76.3
41,49.1
42,33.4
43,67.7
44,68.5
45,71.5
46,85.8
47,46.7
48,57.7
49,37.8
50,72.2
51,65.7
52,65.3
53,70.3
54,36.3
55,60.3
56,52.0
57,69.8
58,35.9
59,58.9
60,54.1
61,65.0
62,69.9
63,63.8
64,71.6
65,61.8
66,69.9
67,61.1
68,69.7
69,59.2
70,79.2
71,58.1
72,54.0
73,51.7
