codi_barri,outcoming_rate_1000hab
1,137.5
2,119.8
3,119.4
4,120.1
5,84.0
6,86.9
7,80.0
8,89.4
9,72.2
10,84.0
11,94.3
12,37.0
13,52.2
14,64.7
15,80.9
16,50.3
17,65.1
18,74.1
19,54.8
20,57.3
21,54.7
22,41.7
23,62.2
24,54.1
25,67.1
26,65.3
27,75.4
28,71.6
29,81.2
30,61.7
31,89.3
32,72.1
33,68.6
34,63.0
35,69.6
36,42.0
37,70.4
38,67.6
39,59.5
40,69.8
41,41.3
42,56.6
43,63.8
44,63.7
45,72.1
46,79.3
47,46.3
48,50.9
49,29.9
50,80.3
51,73.4
52,65.6
53,74.7
54,37.4
55,65.8
56,36.8
57,70.2
58,31.0
59,62.1
60,51.1
61,59.3
62,62.8
63,60.3
64,71.8
65,56.5
66,67.1
67,53.7
68,66.9
69,52.1
70,76.3
71,51.6
72,48.7
73,43.7
