codi_barri,poblacio
1,47129
2,15614
3,15021
4,22306
5,31653
6,51322
7,43644
8,41854
9,57648
10,38184
11,40055
12,1143
13,30385
14,10302
15,15889
16,18512
17,23906
18,40785
19,45932
20,23848
21,11862
22,4632
23,24799
24,16473
25,25665
26,47089
27,29368
28,15591
29,7391
30,13118
31,50584
32,34234
33,25547
34,8965
35,36136
36,9400
37,31355
38,11277
39,6725
40,5053
41,5686
42,583
43,26541
44,25508
45,24519
46,15364
47,2258
48,15043
49,6923
50,15398
51,1226
52,26167
53,7257
54,2791
55,10041
56,1352
57,10032
58,2507
59,12589
60,56683
61,28796
62,14044
63,2208
64,38104
65,26898
66,14838
67,9335
68,33586
69,13397
70,22746
71,20369
72,2601
73,28645
