Any,Equipament,Indicador,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2021,"Centre Cívic Barceloneta",Metres_quadrats,1431,,,01,"Ciutat Vella",03,"la Barceloneta","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380269123,2.192300790
2021,"Centre Cívic Baró de Viver",Metres_quadrats,1535,,,09,"Sant Andreu",58,"Baró de Viver","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.448391924,2.199921143
2021,"Centre Cívic Besòs",Metres_quadrats,3858,,,10,"Sant Martí",70,"el Besòs i el Maresme","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416306001,2.211478868
2021,"Centre Cívic Bon Pastor",Metres_quadrats,1370,,,09,"Sant Andreu",59,"el Bon Pastor","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.434780211,2.204911796
2021,"Centre Cívic Can Basté",Metres_quadrats,1060,,,08,"Nou Barris",46,"el Turó de la Peira","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430458546,2.173212158
2021,"Centre Cívic Can Castelló",Metres_quadrats,1200,,,05,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.399005576,2.140162970
2021,"Centre Cívic Can Clariana Cultural",Metres_quadrats,842,,,09,"Sant Andreu",62,"el Congrés i els Indians","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.4275181,2.178412
2021,"Centre Cívic Can Deu",Metres_quadrats,803,,,04,"Les Corts",19,"les Corts","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386760961,2.132502076
2021,"Centre Cívic Can Felipa",Metres_quadrats,3125,,,10,"Sant Martí",68,"el Poblenou","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526
2021,"Centre Cívic Can Verdaguer",Metres_quadrats,990,,,08,"Nou Barris",45,Porta,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
2021,"Centre Cívic Casa del Rellotge",Metres_quadrats,880,,,03,Sants-Montjuïc,13,"la Marina de Port","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.357544067,2.141389922
2021,"Centre Cívic Casa Groga",Metres_quadrats,1152,,,07,Horta-Guinardó,39,"Sant Genís dels Agudells","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426863420,2.137450112
2021,"Centre Cívic Casa Orlandai",Metres_quadrats,1066,,,05,"Sarrià-Sant Gervasi",23,Sarrià,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.398330273,2.124656447
2021,"Centre Cívic Casinet d'Hostafrancs",Metres_quadrats,1200,"Les dades d'activitat estan incloses a l'equipament Centre Cívic Cotxeres de Sants.",,03,Sants-Montjuïc,15,Hostafrancs,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377824558,2.143204273
2021,"Centre Cívic Convent de Sant Agustí",Metres_quadrats,1655,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.387391384,2.181711349
2021,"Centre Cívic Cotxeres Borrell",Metres_quadrats,1775,,,02,Eixample,10,"Sant Antoni","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375908694,2.163176076
2021,"Centre Cívic Cotxeres de Sants",Metres_quadrats,3167,,,03,Sants-Montjuïc,18,Sants,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375264199,2.136876024
2021,"Centre Cívic del Parc - Sandaru",Metres_quadrats,2000,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.391718569,2.184755119
2021,"Centre Cívic Drassanes",Metres_quadrats,1074,,,01,"Ciutat Vella",01,"el Raval","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377644996,2.172852395
2021,"Centre Cívic El Carmel",Metres_quadrats,1054,,,07,Horta-Guinardó,37,"el Carmel","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.420263994,2.151191237
2021,"Centre Cívic El Coll - La Bruguera",Metres_quadrats,1300,,,06,Gràcia,29,"el Coll","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.418579055,2.149896871
2021,"Centre Cívic El Sortidor",Metres_quadrats,905,,,03,Sants-Montjuïc,11,"el Poble Sec","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.372066797,2.162531728
2021,"Centre Cívic Font de la Guatlla",Metres_quadrats,635,,,03,Sants-Montjuïc,14,"la Font de la Guatlla","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.370560397,2.147508546
