Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2021,1,Ciutat Vella,1,el Raval,1,28484
2021,1,Ciutat Vella,1,el Raval,2,23611
2021,1,Ciutat Vella,1,el Raval,3,26607
2021,1,Ciutat Vella,1,el Raval,4,28688
2021,1,Ciutat Vella,1,el Raval,5,23769
2021,1,Ciutat Vella,1,el Raval,6,27156
2021,1,Ciutat Vella,1,el Raval,7,27564
2021,1,Ciutat Vella,1,el Raval,8,22995
2021,1,Ciutat Vella,1,el Raval,9,25455
2021,1,Ciutat Vella,1,el Raval,10,25264
2021,1,Ciutat Vella,1,el Raval,11,22456
2021,1,Ciutat Vella,1,el Raval,12,27229
2021,1,Ciutat Vella,1,el Raval,13,30275
2021,1,Ciutat Vella,1,el Raval,14,28056
2021,1,Ciutat Vella,1,el Raval,15,27607
2021,1,Ciutat Vella,1,el Raval,16,26940
2021,1,Ciutat Vella,1,el Raval,17,26609
2021,1,Ciutat Vella,1,el Raval,18,27748
2021,1,Ciutat Vella,1,el Raval,19,25122
2021,1,Ciutat Vella,1,el Raval,20,35095
2021,1,Ciutat Vella,1,el Raval,21,31045
2021,1,Ciutat Vella,2,el Barri Gòtic,22,32843
2021,1,Ciutat Vella,2,el Barri Gòtic,23,33057
2021,1,Ciutat Vella,2,el Barri Gòtic,25,31530
2021,1,Ciutat Vella,2,el Barri Gòtic,26,34336
2021,1,Ciutat Vella,2,el Barri Gòtic,27,30389
2021,1,Ciutat Vella,2,el Barri Gòtic,28,28254
2021,1,Ciutat Vella,2,el Barri Gòtic,29,27236
2021,1,Ciutat Vella,2,el Barri Gòtic,30,27884
2021,1,Ciutat Vella,2,el Barri Gòtic,31,29091
2021,1,Ciutat Vella,3,la Barceloneta,32,29429
2021,1,Ciutat Vella,3,la Barceloneta,33,26480
2021,1,Ciutat Vella,3,la Barceloneta,34,24339
2021,1,Ciutat Vella,3,la Barceloneta,35,26191
2021,1,Ciutat Vella,3,la Barceloneta,36,30718
2021,1,Ciutat Vella,3,la Barceloneta,37,29782
2021,1,Ciutat Vella,3,la Barceloneta,38,24291
2021,1,Ciutat Vella,3,la Barceloneta,39,29269
2021,1,Ciutat Vella,3,la Barceloneta,40,26917
2021,1,Ciutat Vella,3,la Barceloneta,41,22897
2021,1,Ciutat Vella,3,la Barceloneta,42,30611
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,38775
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,33929
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,28875
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,27925
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,27283
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,24485
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,31733
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,30985
