Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2021,1,Ciutat Vella,1,el Raval,1,11166
2021,1,Ciutat Vella,1,el Raval,2,9115
2021,1,Ciutat Vella,1,el Raval,3,9431
2021,1,Ciutat Vella,1,el Raval,4,10898
2021,1,Ciutat Vella,1,el Raval,5,9717
2021,1,Ciutat Vella,1,el Raval,6,10214
2021,1,Ciutat Vella,1,el Raval,7,9880
2021,1,Ciutat Vella,1,el Raval,8,7755
2021,1,Ciutat Vella,1,el Raval,9,10011
2021,1,Ciutat Vella,1,el Raval,10,8936
2021,1,Ciutat Vella,1,el Raval,11,8137
2021,1,Ciutat Vella,1,el Raval,12,10578
2021,1,Ciutat Vella,1,el Raval,13,10757
2021,1,Ciutat Vella,1,el Raval,14,10052
2021,1,Ciutat Vella,1,el Raval,15,10444
2021,1,Ciutat Vella,1,el Raval,16,9623
2021,1,Ciutat Vella,1,el Raval,17,9048
2021,1,Ciutat Vella,1,el Raval,18,9854
2021,1,Ciutat Vella,1,el Raval,19,9665
2021,1,Ciutat Vella,1,el Raval,20,14725
2021,1,Ciutat Vella,1,el Raval,21,14304
2021,1,Ciutat Vella,2,el Barri Gòtic,22,15141
2021,1,Ciutat Vella,2,el Barri Gòtic,23,15038
2021,1,Ciutat Vella,2,el Barri Gòtic,25,14081
2021,1,Ciutat Vella,2,el Barri Gòtic,26,14859
2021,1,Ciutat Vella,2,el Barri Gòtic,27,13379
2021,1,Ciutat Vella,2,el Barri Gòtic,28,12429
2021,1,Ciutat Vella,2,el Barri Gòtic,29,11413
2021,1,Ciutat Vella,2,el Barri Gòtic,30,11300
2021,1,Ciutat Vella,2,el Barri Gòtic,31,11604
2021,1,Ciutat Vella,3,la Barceloneta,32,15133
2021,1,Ciutat Vella,3,la Barceloneta,33,12890
2021,1,Ciutat Vella,3,la Barceloneta,34,13175
2021,1,Ciutat Vella,3,la Barceloneta,35,12947
2021,1,Ciutat Vella,3,la Barceloneta,36,13476
2021,1,Ciutat Vella,3,la Barceloneta,37,13402
2021,1,Ciutat Vella,3,la Barceloneta,38,12033
2021,1,Ciutat Vella,3,la Barceloneta,39,13289
