"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Taxa_mil_hab"
"2021","1","Ciutat Vella",1,"el Raval","Alta","115.7"
"2021","1","Ciutat Vella",1,"el Raval","Baixa","137.5"
"2021","1","Ciutat Vella",2,"el Barri Gòtic","Alta","109.0"
"2021","1","Ciutat Vella",2,"el Barri Gòtic","Baixa","119.8"
"2021","1","Ciutat Vella",3,"la Barceloneta","Alta","97.0"
"2021","1","Ciutat Vella",3,"la Barceloneta","Baixa","119.4"
"2021","1","Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Alta","100.4"
"2021","1","Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Baixa","120.1"
"2021","2","Eixample",5,"el Fort Pienc","Alta","88.4"
"2021","2","Eixample",5,"el Fort Pienc","Baixa","84.0"
"2021","2","Eixample",6,"la Sagrada Família","Alta","81.4"
"2021","2","Eixample",6,"la Sagrada Família","Baixa","86.9"
"2021","2","Eixample",7,"la Dreta de l'Eixample","Alta","77.4"
"2021","2","Eixample",7,"la Dreta de l'Eixample","Baixa","80.0"
"2021","2","Eixample",8,"l'Antiga Esquerra de l'Eixample","Alta","78.6"
"2021","2","Eixample",8,"l'Antiga Esquerra de l'Eixample","Baixa","89.4"
"2021","2","Eixample",9,"la Nova Esquerra de l'Eixample","Alta","72.2"
"2021","2","Eixample",9,"la Nova Esquerra de l'Eixample","Baixa","72.2"
"2021","2","Eixample",10,"Sant Antoni","Alta","83.5"
"2021","2","Eixample",10,"Sant Antoni","Baixa","84.0"
"2021","3","Sants-Montjuïc",11,"el Poble Sec","Alta","89.7"
"2021","3","Sants-Montjuïc",11,"el Poble Sec","Baixa","94.3"
"2021","3","Sants-Montjuïc",12,"la Marina del Prat Vermell","Alta","149.6"
"2021","3","Sants-Montjuïc",12,"la Marina del Prat Vermell","Baixa","37.0"
"2021","3","Sants-Montjuïc",13,"la Marina de Port","Alta","53.7"
"2021","3","Sants-Montjuïc",13,"la Marina de Port","Baixa","52.2"
"2021","3","Sants-Montjuïc",14,"la Font de la Guatlla","Alta","84.2"
