codi_barri,nom_barri,poblacio,superficie,superficie_residencial,densitat,densitat_neta
1,el Raval,47129,109.8,49.7,429.1,948.2
2,el Barri Gòtic,15614,84.2,34.1,185.4,457.2
3,la Barceloneta,15021,131.4,13.5,114.3,1113.2
4,Sant Pere Santa Caterina I la Ribera,22306,111.4,32.4,200.2,688.7
5,el Fort Pienc,31653,92.9,33.4,340.8,947.7
6,la Sagrada Família,51322,105.1,51.2,488.3,1001.9
7,la Dreta de l'Eixample,43644,212.3,113.9,205.5,383.2
8,l'Antiga Esquerra de l'Eixample,41854,123.4,66.9,339.0,625.2
9,la Nova Esquerra de l'Eixample,57648,133.8,65.3,431.0,882.8
10,Sant Antoni,38184,80.1,41.3,476.7,923.7
11,el Poble Sec,40055,460.5,38.6,87.0,1038.6
12,la Marina del Prat Vermell,1143,1428.4,35.9,0.8,31.8
13,la Marina de Port,30385,125.5,39.3,242.2,773.9
14,la Font de la Guatlla,10302,30.2,11.4,341.1,903.0
15,Hostafrancs,15889,41.0,22.4,387.3,709.6
16,la Bordeta,18512,57.7,20.6,321.1,896.6
17,Sants - Badal,23906,41.1,25.1,582.3,951.3
18,Sants,40785,109.8,55.6,371.5,734.1
19,les Corts,45932,141.3,65.3,325.2,703.7
20,la Maternitat i Sant Ramon,23848,190.3,32.6,125.3,730.5
21,Pedralbes,11862,270.2,82.3,43.9,144.1
22,Vallvidrera el Tibidabo I les Planes,4632,1152.2,89.5,4.0,51.8
23,Sarrià,24799,304.2,96.0,81.5,258.2
24,les Tres Torres,16473,78.8,42.6,209.0,386.9
25,Sant Gervasi - la Bonanova,25665,223.5,82.1,114.8,312.7
26,Sant Gervasi - Galvany,47089,165.9,95.6,283.9,492.7
27,el Putxet i el Farró,29368,84.6,53.2,347.0,551.9
28,Vallcarca i els Penitents,15591,120.9,46.9,129.0,332.6
29,el Coll,7391,35.8,12.4,206.5,595.9
30,la Salut,13118,64.3,19.2,203.9,683.6
31,la Vila de Gràcia,50584,132.6,83.5,381.5,606.1
32,el Camp d'en Grassot i Gràcia Nova,34234,65.0,38.5,527.1,888.5
33,el Baix Guinardó,25547,56.0,23.7,456.3,1076.6
34,Can Baró,8965,38.4,14.3,233.6,625.1
35,el Guinardó,36136,130.8,52.1,276.2,693.0
36,la Font d'en Fargues,9400,65.7,39.5,143.0,238.1
37,el Carmel,31355,94.2,39.4,333.0,795.1
38,la Teixonera,11277,33.7,18.8,334.6,598.6
39,Sant Genís dels Agudells,6725,171.6,18.1,39.2,371.7
40,Montbau,5053,204.7,11.5,24.7,440.9
41,la Vall d'Hebron,5686,73.6,7.8,77.2,731.5
42,la Clota,583,17.8,6.1,32.7,95.2
43,Horta,26541,308.2,63.4,86.1,418.8
44,Vilapicina i la Torre Llobeta,25508,56.7,29.0,449.8,879.7
45,Porta,24519,84.1,35.2,291.5,697.3
46,el Turó de la Peira,15364,35.4,13.4,433.9,1143.9
47,Can Peguera,2258,12.0,6.1,188.9,372.7
48,la Guineueta,15043,61.1,22.3,246.0,674.0
49,Canyelles,6923,79.3,11.1,87.4,622.1
50,les Roquetes,15398,64.2,18.2,240.0,845.7
51,Verdun,1226,23.7,14.3,516.4,859.1
52,la Prosperitat,26167,59.5,27.3,439.9,957.2
53,la Trinitat Nova,7257,56.0,12.6,129.6,577.4
54,Torre Baró,2791,176.8,21.2,15.8,131.7
55,Ciutat Meridiana,10041,35.5,15.1,282.5,663.0
56,Vallbona,1352,59.8,6.8,22.6,199.1
57,la Trinitat Vella,10032,81.0,12.7,123.9,790.3
58,Baró de Viver,2507,23.0,3.9,109.0,641.0
59,el Bon Pastor,12589,188.2,17.9,66.9,704.0
60,Sant Andreu,56683,184.1,76.8,307.9,738.1
61,la Sagrera,28796,97.2,39.5,296.1,728.2
62,el Congrés i els Indians,14044,40.7,19.2,345.0,729.6
63,Navas,2208,42.3,22.5,521.6,981.4
64,el Camp de l'Arpa del Clot,38104,74.2,43.0,513.7,886.8
65,el Clot,26898,69.6,23.6,386.5,1139.0
66,el Parc i la Llacuna del Poblenou,14838,111.4,19.9,133.2,745.3
67,la Vila Olímpica del Poblenou,9335,94.3,24.2,99.0,386.1
68,el Poblenou,33586,154.5,42.6,217.4,789.1
69,Diagonal Mar i el Front Marítim del Poblenou,13397,123.7,23.0,108.3,581.9
70,el Besòs i el Maresme,22746,127.4,25.6,178.5,887.8
71,Provençals del Poblenou,20369,110.5,13.5,184.3,1510.9
72,Sant Martí de Provençals,2601,74.5,22.6,348.9,1148.6
73,la Verneda i la Pau,28645,112.3,40.1,255.1,714.3
